scope,MAE,RMSE,R2
overall,0.06024315011408208,0.15368718841477697,0.8670952908519719
active_power_gt_0.05,0.19909577583998292,0.2994859686277146,0.47893112046559994
hour_06_to_18,0.1052382382060451,0.21146336172509606,0.8240336427717929
